actor,opening night,show,wikipedia link,terminal school,school (2),relatives,theater credits,film credits,tv credits,screen credits before opening night,screen credits after opening night
Nathan Salstone,2018,"Harry Potter and the Cursed Child, Parts One and Two",,Carnegie Mellon University,,,4,,,,
Linda Powell,2022,"A Beautiful Noise, The Neil Diamond Musical",https://en.wikipedia.org/wiki/Linda_Powell,College of William and Mary,Circle in the Square Theatre School,"Colin Powell (father)
Alma Johnson (mother)
Michael Powell (brother)",,6,5,9,0
Ben Platt,2023,Parade,https://en.wikipedia.org/wiki/Ben_Platt,Columbia University,,,14,16,11,27,0
Denise Faye,1996,Chicago,https://en.wikipedia.org/wiki/Denise_Faye,Columbia University,"(Barnard College, )",,14,,,0,0
Jane Lynch,2022,Funny Girl,https://en.wikipedia.org/wiki/Jane_Lynch,Cornell University,Illinois State University,,,,,0,0
Adam Godley,2023,Once Upon a One More Time,https://en.wikipedia.org/wiki/Adam_Godley,didn't go to college,,,17,16,46,62,0
Alex Newell,2023,Shucked,https://en.wikipedia.org/wiki/Alex_Newell,didn't go to college,,,4,,,0,0
Alex Price,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Alex_Price,didn't go to college,,,0,7,19,24,2
Ann Reinking,1996,Chicago,https://en.wikipedia.org/wiki/Ann_Reinking,didn't go to college,,,29,4,3,7,0
Ariana DeBose,2015,Hamilton,https://en.wikipedia.org/wiki/Ariana_DeBose,didn't go to college,,,12,11,8,2,17
Brooklyn Shuck,2018,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Brooklyn_Shuck,didn't go to college,,,7,,2,0,0
Carole Shelley,2003,Wicked,https://en.wikipedia.org/wiki/Carole_Shelley,didn't go to college,,,,22,10,27,3
Caroline Innerbichler,2023,Shucked,https://en.wikipedia.org/wiki/Caroline_Innerbichler,didn't go to college,,,20,,,0,0
Clyde Alves,2023,"New York, New York",https://en.wikipedia.org/wiki/Clyde_Alves,didn't go to college,,,19,,,0,0
Colleen Fitzpatrick,2022,Kimberly Akimbo,https://en.wikipedia.org/wiki/Colleen_Fitzpatrick,didn't go to college,,,33,,,0,0
David Krumholtz,2022,Leopoldstadt,https://en.wikipedia.org/wiki/David_Krumholtz,didn't go to college,,,4,52,54,99,5
Ericka Hunter,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Ericka_Hunter,didn't go to college,,,15,4,4,5,3
Eva Noblezada,2019,Hadestown,https://en.wikipedia.org/wiki/Eva_Noblezada,didn't go to college,,Annette Calud (aunt),4,4,1,1,3
Gaten Matarazzo,2023,Sweeney Todd,https://en.wikipedia.org/wiki/Gaten_Matarazzo,didn't go to college,,,8,3,9,12,0
Glenn Fitzgerald,2023,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/Glenn_Fitzgerald,didn't go to college,,,,23,18,39,0
Jeremiah James,2022,Funny Girl,https://en.wikipedia.org/wiki/Jeremiah_James,didn't go to college,,,3,,,0,0
Jodie Comer,2023,Prima Facie,https://en.wikipedia.org/wiki/Jodie_Comer,didn't go to college,,,2,6,23,29,0
Joel Grey,1996,Chicago,https://en.wikipedia.org/wiki/Joel_Grey,didn't go to college,,"Mickey Katz (father)
Ronald A. Katz (brother)",21,21,54,51,24
Jonathan Groff,2015,Hamilton,https://en.wikipedia.org/wiki/Jonathan_Groff,didn't go to college,,,23,19,18,16,21
Jordan Fisher,2023,Sweeney Todd,https://en.wikipedia.org/wiki/Jordan_Fisher,didn't go to college,,,6,7,8,15,0
Josh Groban,2023,Sweeney Todd,https://en.wikipedia.org/wiki/Josh_Groban,didn't go to college,,,3,5,31,36,0
Justin Cooley,2022,Kimberly Akimbo,https://en.wikipedia.org/wiki/Justin_Cooley,didn't go to college,,,2,,,0,0
Kevyn Morrow,2019,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Kevyn_Morrow,didn't go to college,,,,7,18,18,7
Leigh Zimmerman,1996,Chicago,https://en.wikipedia.org/wiki/Leigh_Zimmerman,didn't go to college,,,,10,10,1,18
Marcia Lewis,1996,Chicago,https://en.wikipedia.org/wiki/Marcia_Lewis,didn't go to college,,,11,,,0,0
