actor,show,wikipedia link,terminal school,school (2),relatives,film credits,tv credits,theater credits
Kevin Cahoon,The Lion King,https://en.wikipedia.org/wiki/Kevin_Cahoon,New York University,,,,,
Marchánt Davis,"Good Night, Oscar",https://en.wikipedia.org/wiki/March%C3%A1nt_Davis,New York University,,,2,,4
Paul Sparks,Grey House,https://en.wikipedia.org/wiki/Paul_Sparks,New York University,,,26,21,11
Rachel Brosnahan,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/Rachel_Brosnahan,New York University,,Kate Spade (aunt),25,20,4
Jay Armstrong Johnson,Parade,https://en.wikipedia.org/wiki/Jay_Armstrong_Johnson,New York University,,,1,5,24
Manoel Felciano,Parade,https://en.wikipedia.org/wiki/Manoel_Felciano,New York University,Yale University,,,,
Victoria Clark,Kimberly Akimbo,https://en.wikipedia.org/wiki/Victoria_Clark,New York University,Yale University,,,,
Angie Schworer,Some Like It Hot,https://en.wikipedia.org/wiki/Angie_Schworer,Northern Kentucky University,,,,,
Alex Weisman,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Alex_Weisman,Northwestern University,,Robin Weisman (sister),,,1
Madeline Weinstein,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Madeline_Weinstein,Northwestern University,,,4,5,4
Bonnie Milligan,Kimberly Akimbo,https://en.wikipedia.org/wiki/Bonnie_Milligan,Ohio State,,,,,2
Jonathan Freeman,Aladdin,https://en.wikipedia.org/wiki/Jonathan_Freeman,Ohio University,,,14,20,46
Jordan Donica,Camelot,https://en.wikipedia.org/wiki/Jordan_Donica,Otterbein University,,,,3,13
Courtney Reed,Aladdin,https://en.wikipedia.org/wiki/Courtney_Reed,Roosevelt University's Chicago College of Performing Arts,,,,,
Hiran Abeysekera,Life of Pi,https://en.wikipedia.org/wiki/Hiran_Abeysekera,Royal Academy of Dramatic Art,,,2,6,15
Anthony Boyle,"Harry Potter and the Cursed Child, Parts One and Two",https://en.wikipedia.org/wiki/Anthony_Boyle,Royal Welsh College of Music and Drama,,,6,8,7
Jon Rua,Hamilton,https://en.wikipedia.org/wiki/Jon_Rua,Rutgers University,,,6,6,0
Martin Moran,Funny Girl,https://en.wikipedia.org/wiki/Martin_Moran,Stanford University,,,,,17
Andrea Macasaet,Six,https://en.wikipedia.org/wiki/Andrea_Macasaet,The Canadian College of Performing Arts,,,1,,10
Norbert Leo Butz,Wicked,https://en.wikipedia.org/wiki/Norbert_Leo_Butz,University of Alabama,Webster University,,17,20,20
John Vickery,The Lion King,https://en.wikipedia.org/wiki/John_Vickery,"University of California, Davis",,,,,6
Daisuke Tsuji,Life of Pi,https://en.wikipedia.org/wiki/Daisuke_Tsuji,"University of California, Los Angeles",,,5,10,1
